"Выручка, руб.","Прибыль, руб.","Реализация, конт.","Списание, конт.","Равномерность продаж","День, макс","Продажи макс, руб.","День, мин","Продажи мин, руб.","День списания, макс","Списание макс, руб.","Наименование товара"
"Магазин 1",47640,2300,1588,188,21,3,7860,1,6000,4,270,"Хлеб, шт"
"Магазин 2",44520,3040,1484,146,14,5,7140,1,6060,2,330,"Хлеб, шт"
"Магазин 3",46770,2185,1559,187,23,2,8010,4,6090,3,365,"Хлеб, шт"
"Магазин 4",46950,3925,1565,130,23,1,8100,4,6030,2,285,"Хлеб, шт"
"Магазин 5",45630,3075,1521,151,24,3,8070,2,6030,5,290,"Хлеб, шт"
"Магазин 6",46530,3645,1551,137,27,3,8430,6,6090,7,205,"Хлеб, шт"
"Магазин 7",49440,5720,1648,84,23,7,8100,1,6150,4,165,"Хлеб, шт"
"Магазин 8",45390,2555,1513,167,26,4,8250,6,6060,2,230,"Хлеб, шт"
"Магазин 9",49770,1935,1659,212,23,4,8160,5,6000,1,305,"Хлеб, шт"
"Магазин 10",48540,4220,1618,129,33,1,8370,7,6000,4,290,"Хлеб, шт"
"Итого",471180,32600,15706,1531,0,0,0,0,0,0,0,"Хлеб, шт"
"Среднее",78530,5433.33333333333,2617.66666666667,255.166666666667,0,0,0,0,0,0,0,"Хлеб, шт"
